HDR,ROLLING SYSTEM DEMAND
VD,20220326093000,25452
VD,20220326093500,25368
VD,20220326094000,25266
VD,20220326094500,25189
VD,20220326095000,25121
VD,20220326095500,24992
VD,20220326100000,24688
VD,20220326100500,24629
VD,20220326101000,24567
VD,20220326101500,24518
VD,20220326102000,24408
VD,20220326102500,24283
VD,20220326103000,24121
VD,20220326103500,24056
VD,20220326104000,23982
VD,20220326104500,23875
VD,20220326105000,23641
VD,20220326105500,23560
VD,20220326110000,23465
VD,20220326110500,23568
VD,20220326111000,23568
VD,20220326111500,23490
VD,20220326112000,23351
VD,20220326112500,23268
VD,20220326113000,23167
VD,20220326113500,23048
VD,20220326114000,22943
VD,20220326114500,22896
VD,20220326115000,22852
VD,20220326115500,22800
VD,20220326120000,22853
VD,20220326120500,22839
VD,20220326121000,22820
VD,20220326121500,22821
VD,20220326122000,22755
VD,20220326122500,22694
VD,20220326123000,22612
VD,20220326123500,22536
VD,20220326124000,22445
VD,20220326124500,22381
VD,20220326125000,22363
VD,20220326125500,22326
VD,20220326130000,22254
VD,20220326130500,22252
VD,20220326131000,22167
VD,20220326131500,22121
VD,20220326132000,22028
VD,20220326132500,22069
VD,20220326133000,22060
VD,20220326133500,21978
VD,20220326134000,21971
VD,20220326134500,21903
VD,20220326135000,21848
VD,20220326135500,21904
VD,20220326140000,21892
VD,20220326140500,21921
VD,20220326141000,21939
VD,20220326141500,22035
VD,20220326142000,22074
VD,20220326142500,22118
VD,20220326143000,22129
VD,20220326143500,22137
VD,20220326144000,22249
VD,20220326144500,22293
VD,20220326145000,22297
VD,20220326145500,22348
VD,20220326150000,22519
VD,20220326150500,22725
VD,20220326151000,22922
VD,20220326151500,23087
VD,20220326152000,23176
VD,20220326152500,23341
VD,20220326153000,23530
VD,20220326153500,23650
VD,20220326154000,23816
VD,20220326154500,24049
VD,20220326155000,24351
VD,20220326155500,24694
VD,20220326160000,24909
VD,20220326160500,24872
VD,20220326161000,25161
VD,20220326161500,25353
VD,20220326162000,25532
VD,20220326162500,25865
VD,20220326163000,26281
VD,20220326163500,26668
VD,20220326164000,26979
VD,20220326164500,27247
VD,20220326165000,27521
VD,20220326165500,27795
VD,20220326170000,28335
VD,20220326170500,28842
VD,20220326171000,29075
VD,20220326171500,29334
VD,20220326172000,29476
VD,20220326172500,29715
VD,20220326173000,30079
VD,20220326173500,30316
VD,20220326174000,30375
VD,20220326174500,30466
VD,20220326175000,30546
VD,20220326175500,30666
VD,20220326180000,30959
VD,20220326180500,31227
VD,20220326181000,31390
VD,20220326181500,31484
VD,20220326182000,31645
VD,20220326182500,31843
VD,20220326183000,31984
VD,20220326183500,32198
VD,20220326184000,32399
VD,20220326184500,32641
VD,20220326185000,32883
VD,20220326185500,33107
VD,20220326190000,33113
VD,20220326190500,33172
VD,20220326191000,33092
VD,20220326191500,32951
VD,20220326192000,32874
VD,20220326192500,32832
VD,20220326193000,32781
VD,20220326193500,32644
VD,20220326194000,32436
VD,20220326194500,32266
VD,20220326195000,32098
VD,20220326195500,32005
VD,20220326200000,31815
VD,20220326200500,31532
VD,20220326201000,31444
VD,20220326201500,31408
VD,20220326202000,31238
VD,20220326202500,31152
VD,20220326203000,30958
VD,20220326203500,30799
VD,20220326204000,30722
VD,20220326204500,30546
VD,20220326205000,30394
VD,20220326205500,30233
VD,20220326210000,30081
VD,20220326210500,29793
VD,20220326211000,29535
VD,20220326211500,29364
VD,20220326212000,29153
VD,20220326212500,28964
VD,20220326213000,28847
VD,20220326213500,28754
VD,20220326214000,28598
VD,20220326214500,28479
VD,20220326215000,28217
VD,20220326215500,28005
VD,20220326220000,27832
VD,20220326220500,27572
VD,20220326221000,27281
VD,20220326221500,27144
VD,20220326222000,27001
VD,20220326222500,26718
VD,20220326223000,26558
VD,20220326223500,26274
VD,20220326224000,26061
VD,20220326224500,25946
VD,20220326225000,25667
VD,20220326225500,25359
VD,20220326230000,25103
VD,20220326230500,24720
VD,20220326231000,24504
VD,20220326231500,24328
VD,20220326232000,24170
VD,20220326232500,24026
VD,20220326233000,23927
VD,20220326233500,23906
VD,20220326234000,23881
VD,20220326234500,23872
VD,20220326235000,23821
VD,20220326235500,23700
VD,20220327000000,23629
VD,20220327000500,23812
VD,20220327001000,23818
VD,20220327001500,23559
VD,20220327002000,23383
VD,20220327002500,23270
VD,20220327003000,23227
VD,20220327003500,23448
VD,20220327004000,23505
VD,20220327004500,23483
VD,20220327005000,23407
VD,20220327005500,23285
VD,20220327010000,23198
VD,20220327010500,23277
VD,20220327011000,23138
VD,20220327011500,23130
VD,20220327012000,23021
VD,20220327012500,18227
VD,20220327013000,18159
VD,20220327013500,18104
VD,20220327014000,18222
VD,20220327014500,23034
VD,20220327015000,22978
VD,20220327015500,22928
VD,20220327020000,22786
VD,20220327020500,22489
VD,20220327021000,22412
VD,20220327021500,22399
VD,20220327022000,22427
VD,20220327022500,22376
VD,20220327023000,22264
VD,20220327023500,22269
VD,20220327024000,22252
VD,20220327024500,22223
VD,20220327025000,22157
VD,20220327025500,22108
VD,20220327030000,22191
VD,20220327030500,22228
VD,20220327031000,22155
VD,20220327031500,22156
VD,20220327032000,22090
VD,20220327032500,22035
VD,20220327033000,22030
VD,20220327033500,22063
VD,20220327034000,22066
VD,20220327034500,22026
VD,20220327035000,22099
VD,20220327035500,22102
VD,20220327040000,22161
VD,20220327040500,22173
VD,20220327041000,22193
VD,20220327041500,22220
VD,20220327042000,22103
VD,20220327042500,21977
VD,20220327043000,21949
VD,20220327043500,21977
VD,20220327044000,22010
VD,20220327044500,21980
VD,20220327045000,21996
VD,20220327045500,22030
VD,20220327050000,21948
VD,20220327050500,21839
VD,20220327051000,21866
VD,20220327051500,21934
VD,20220327052000,21935
VD,20220327052500,21941
VD,20220327053000,21943
VD,20220327053500,21930
VD,20220327054000,22009
VD,20220327054500,22062
VD,20220327055000,22004
VD,20220327055500,22098
VD,20220327060000,22207
VD,20220327060500,22469
VD,20220327061000,22602
VD,20220327061500,22780
VD,20220327062000,22883
VD,20220327062500,22962
VD,20220327063000,23073
VD,20220327063500,23229
VD,20220327064000,23406
VD,20220327064500,23590
VD,20220327065000,23661
VD,20220327065500,23713
VD,20220327070000,23566
VD,20220327070500,23852
VD,20220327071000,24081
VD,20220327071500,24398
VD,20220327072000,24618
VD,20220327072500,24683
VD,20220327073000,24765
VD,20220327073500,24853
VD,20220327074000,24935
VD,20220327074500,24302
VD,20220327075000,25099
VD,20220327075500,25269
VD,20220327080000,25268
VD,20220327080500,25354
VD,20220327081000,25619
VD,20220327081500,25681
VD,20220327082000,25670
VD,20220327082500,25752
VD,20220327083000,25623
VD,20220327083500,25792
VD,20220327084000,25870
VD,20220327084500,25988
VD,20220327085000,26029
VD,20220327085500,25964
VD,20220327090000,25983
VD,20220327090500,26061
VD,20220327091000,26157
VD,20220327091500,26177
VD,20220327092000,26233
VD,20220327092500,26222
VD,20220327093000,26221
VD,20220327093500,26186
VD,20220327094000,26197
VD,20220327094500,26200
VD,20220327095000,26142
VD,20220327095500,26058
VD,20220327100000,26029
VD,20220327100500,26207
VD,20220327101000,26253
VD,20220327101500,26270
VD,20220327102000,26232
VD,20220327102500,26236
VD,20220327103000,26226
VD,20220327103500,26241
VD,20220327104000,26186
VD,20220327104500,26145
VD,20220327105000,26075
VD,20220327105500,26029
VD,20220327110000,25997
VD,20220327110500,25925
VD,20220327111000,25926
VD,20220327111500,25906
VD,20220327112000,25692
VD,20220327112500,25696
VD,20220327113000,25650
VD,20220327113500,25579
VD,20220327114000,25577
VD,20220327114500,25553
VD,20220327115000,25521
VD,20220327115500,25397
VD,20220327120000,25351
VD,20220327120500,25245
VD,20220327121000,25132
VD,20220327121500,25052
VD,20220327122000,25009
VD,20220327122500,24965
VD,20220327123000,24879
VD,20220327123500,24714
VD,20220327124000,24646
VD,20220327124500,24603
VD,20220327125000,24476
VD,20220327125500,24363
VD,20220327130000,24302
VD,20220327130500,24238
VD,20220327131000,24252
VD,20220327131500,24180
VD,20220327132000,24187
VD,20220327132500,24150
VD,20220327133000,24019
VD,20220327133500,23952
VD,20220327134000,23837
VD,20220327134500,23827
VD,20220327135000,23846
VD,20220327135500,23852
VD,20220327140000,23828
VD,20220327140500,24110
VD,20220327141000,24238
VD,20220327141500,24325
VD,20220327142000,24504
VD,20220327142500,24601
VD,20220327143000,24694
VD,20220327143500,24625
VD,20220327144000,24646
VD,20220327144500,24976
VD,20220327145000,25242
VD,20220327145500,25319
VD,20220327150000,25428
VD,20220327150500,25346
VD,20220327151000,25501
VD,20220327151500,25643
VD,20220327152000,25710
VD,20220327152500,25875
VD,20220327153000,26068
VD,20220327153500,26342
VD,20220327154000,26503
VD,20220327154500,26770
VD,20220327155000,27019
VD,20220327155500,27415
VD,20220327160000,27684
VD,20220327160500,27820
VD,20220327161000,28297
VD,20220327161500,28403
VD,20220327162000,28580
VD,20220327162500,28870
VD,20220327163000,28998
VD,20220327163500,29045
VD,20220327164000,29164
VD,20220327164500,29380
VD,20220327165000,29549
VD,20220327165500,29740
VD,20220327170000,30062
VD,20220327170500,30381
VD,20220327171000,30513
VD,20220327171500,30566
VD,20220327172000,30650
VD,20220327172500,30818
VD,20220327173000,31005
VD,20220327173500,31097
VD,20220327174000,31215
VD,20220327174500,31262
VD,20220327175000,31453
VD,20220327175500,31489
VD,20220327180000,31619
VD,20220327180500,31776
VD,20220327181000,31804
VD,20220327181500,31872
VD,20220327182000,31954
VD,20220327182500,32027
VD,20220327183000,32138
VD,20220327183500,32175
VD,20220327184000,32238
VD,20220327184500,32390
VD,20220327185000,32392
VD,20220327185500,32580
VD,20220327190000,32732
VD,20220327190500,32826
VD,20220327191000,32808
VD,20220327191500,32661
VD,20220327192000,32541
VD,20220327192500,32464
VD,20220327193000,32326
VD,20220327193500,32317
VD,20220327194000,32243
VD,20220327194500,31966
VD,20220327195000,31834
VD,20220327195500,31689
VD,20220327200000,31518
VD,20220327200500,31485
VD,20220327201000,31315
VD,20220327201500,31013
VD,20220327202000,30787
VD,20220327202500,30631
VD,20220327203000,30407
VD,20220327203500,30115
VD,20220327204000,29933
VD,20220327204500,29686
VD,20220327205000,29430
VD,20220327205500,29197
VD,20220327210000,29043
VD,20220327210500,28867
VD,20220327211000,28588
VD,20220327211500,28217
VD,20220327212000,27821
VD,20220327212500,27592
VD,20220327213000,27441
VD,20220327213500,27030
VD,20220327214000,26754
VD,20220327214500,26442
VD,20220327215000,26119
VD,20220327215500,25990
VD,20220327220000,25711
VD,20220327220500,25621
VD,20220327221000,25754
VD,20220327221500,25599
VD,20220327222000,25276
VD,20220327222500,25020
VD,20220327223000,24823
VD,20220327223500,24514
VD,20220327224000,24346
VD,20220327224500,24212
VD,20220327225000,24160
VD,20220327225500,24099
VD,20220327230000,23944
VD,20220327230500,23555
VD,20220327231000,23483
VD,20220327231500,23648
VD,20220327232000,23819
VD,20220327232500,23767
VD,20220327233000,23687
VD,20220327233500,23654
VD,20220327234000,23580
VD,20220327234500,23539
VD,20220327235000,23568
VD,20220327235500,23418
VD,20220328000000,23406
VD,20220328000500,23655
VD,20220328001000,23790
VD,20220328001500,23796
VD,20220328002000,23735
VD,20220328002500,23629
VD,20220328003000,23679
VD,20220328003500,23979
VD,20220328004000,24102
VD,20220328004500,24155
VD,20220328005000,24107
VD,20220328005500,24106
VD,20220328010000,24075
VD,20220328010500,24166
VD,20220328011000,24148
VD,20220328011500,24098
VD,20220328012000,24002
VD,20220328012500,23994
VD,20220328013000,23978
VD,20220328013500,24023
VD,20220328014000,23948
VD,20220328014500,23920
VD,20220328015000,23849
VD,20220328015500,23835
VD,20220328020000,23848
VD,20220328020500,23705
VD,20220328021000,23755
VD,20220328021500,23735
VD,20220328022000,23741
VD,20220328022500,23732
VD,20220328023000,23723
VD,20220328023500,23827
VD,20220328024000,23864
VD,20220328024500,23861
VD,20220328025000,23780
VD,20220328025500,23770
VD,20220328030000,23821
VD,20220328030500,23917
VD,20220328031000,24097
VD,20220328031500,24075
VD,20220328032000,24064
VD,20220328032500,24002
VD,20220328033000,24014
VD,20220328033500,24144
VD,20220328034000,24193
VD,20220328034500,24191
VD,20220328035000,24144
VD,20220328035500,23915
VD,20220328040000,23983
VD,20220328040500,24613
VD,20220328041000,25245
VD,20220328041500,25361
VD,20220328042000,25544
VD,20220328042500,25686
VD,20220328043000,25863
VD,20220328043500,26128
VD,20220328044000,26538
VD,20220328044500,26834
VD,20220328045000,26871
VD,20220328045500,27145
VD,20220328050000,27214
